"Term","Estimate","SE","Zval","Pval","CI.Lower","CI.Upper","Moderator","ResponseVariable"
"intrcpt",-0.0193371602589296,0.0114595576092642,-1.68742641891315,0.091521387420446,-0.0417974804518493,0.0031231599339901,"crop_type","Crop yield"
"crop_typeLegume",-0.0116625680644231,0.000782070896757048,-14.9124179313964,2.73660307027852e-50,-0.0131953988554238,-0.0101297372734223,"crop_type","Crop yield"
"crop_typeTuber,root and other",-0.0597539321964401,0.00271954414537454,-21.9720397986813,5.33194269305068e-107,-0.065084140775741,-0.0544237236171393,"crop_type","Crop yield"
"intrcpt",-0.0605801477672879,0.0228109374197399,-2.65575003133644,0.00791322471273656,-0.105288763563575,-0.0158715319710006,"age_system","Crop yield"
"age_systemMedium",0.0349421030919549,0.0257061405233383,1.35929012992952,0.174054670431799,-0.0154410065153137,0.0853252126992234,"age_system","Crop yield"
"age_systemYoung",0.05807084791537,0.0218155811500634,2.66189782045762,0.00777014617784338,0.0153130945594349,0.100828601271305,"age_system","Crop yield"
"intrcpt",-0.0366460351972043,0.0121930191998832,-3.00549311015235,0.00265150603063544,-0.0605439136917807,-0.0127481567026278,"season","Crop yield"
"seasonWinter",0.0245332909702982,0.00281781902118427,8.70648213595612,3.13451338307398e-18,0.0190104671738252,0.0300561147667713,"season","Crop yield"
"intrcpt",-0.00283753997888281,0.0107312136508992,-0.264419297871777,0.791456842990222,-0.0238703322450499,0.0181952522872843,"soil_texture","Crop yield"
"soil_textureSand",-0.0207740349570229,0.00126405204262834,-16.4344775819731,1.08354419468378e-60,-0.0232515314351587,-0.018296538478887,"soil_texture","Crop yield"
"soil_textureSilt",-0.045179686470828,0.00288174783897741,-15.6778764122749,2.1429983468926e-55,-0.0508278084477498,-0.0395315644939061,"soil_texture","Crop yield"
"intrcpt",-0.454394990879467,0.188702719539487,-2.40799386457376,0.0160404505897342,-0.824245524961625,-0.0845444567973104,"tree_type","Pest and Disease"
"tree_typeFruit,nut & other",0.410486496838511,0.217918667327183,1.88366835146897,0.059609849929714,-0.0166262426817336,0.837599236358755,"tree_type","Pest and Disease"
"tree_typeTimber",0.586600282771736,0.266577391443944,2.20048774426951,0.027772308529242,0.0641181964489695,1.1090823690945,"tree_type","Pest and Disease"
"intrcpt",-0.186063409484925,0.120561518682652,-1.54330678244599,0.122756358777449,-0.422359644024376,0.0502328250545256,"crop_type","Pest and Disease"
"crop_typeLegume",0.234285705343906,0.190322743084665,1.23099163844903,0.218325991605126,-0.138740016540907,0.60731142722872,"crop_type","Pest and Disease"
"crop_typeTuber,root and other",-0.45301840285434,0.0807833885821404,-5.60781629497642,2.04895335914417e-08,-0.611350935024439,-0.29468587068424,"crop_type","Pest and Disease"
"intrcpt",0.323638611267588,0.281247438726401,1.15072554165525,0.249845165251384,-0.227596239380293,0.874873461915469,"age_system","Pest and Disease"
"age_systemMedium",-0.647282011942451,0.0328403298637727,-19.7099729091482,1.77061705073682e-86,-0.711647875715861,-0.582916148169041,"age_system","Pest and Disease"
"age_systemYoung",-0.191433319378546,0.626933790942339,-0.305348542612138,0.76010070843251,-1.42020097031669,1.0373343315596,"age_system","Pest and Disease"
"intrcpt",0.155229632513824,0.209897949700359,0.739548112477626,0.459574235833932,-0.25616278932768,0.566622054355328,"season","Pest and Disease"
"seasonWinter",-0.645773716752369,0.0327876234692781,-19.695654897265,2.34939119332802e-86,-0.710036277890815,-0.581511155613924,"season","Pest and Disease"
"intrcpt",0.00112135259636336,0.0466206264731148,0.0240527140279855,0.980810561136941,-0.0902533962276362,0.0924961014203629,"soil_texture","Pest and Disease"
"soil_textureSilt",-0.455516343475824,0.104333680153013,-4.36595683012212,1.26567477345672e-05,-0.660006598950251,-0.251026088001397,"soil_texture","Pest and Disease"
"intrcpt",-0.095336925851263,0.0285367366510567,-3.34084892106025,0.00083522658521398,-0.151267901923638,-0.0394059497788878,"tree_type","Soil quality"
"tree_typeFruit,nut & other",0.628402281760295,0.0209204694572325,30.037675925243,3.1629711907286e-198,0.587398915084449,0.669405648436141,"tree_type","Soil quality"
"tree_typeTimber",0.147318565164327,0.0561255814376116,2.62480247671169,0.00866992467375196,0.037314446935238,0.257322683393415,"tree_type","Soil quality"
"intrcpt",0.0321616412506645,0.0163978241893246,1.96133589916171,0.0498398521661196,2.24964147686676e-05,0.0643007860865603,"crop_type","Soil quality"
"crop_typeLegume",0.00270712008109772,0.00308837775599593,0.876550828616086,0.380730656953028,-0.00334598909130893,0.00876022925350436,"crop_type","Soil quality"
"crop_typeTuber,root and other",0.00289107790888291,0.0555062284986162,0.0520856485314074,0.958460448256691,-0.105899130866056,0.111681286683821,"crop_type","Soil quality"
"intrcpt",-0.211644851115402,0.109580828296264,-1.93140400931444,0.0534331097337744,-0.426419327972148,0.00312962574134312,"age_system","Soil quality"
"age_systemMedium",0.211211706249332,0.378280825179197,0.558346318900192,0.576607921575531,-0.530205087143987,0.952628499642651,"age_system","Soil quality"
"age_systemYoung",0.681504742415754,0.0217804324063152,31.2897710064816,6.42893425875977e-215,0.638815879331667,0.724193605499841,"age_system","Soil quality"
"intrcpt",0.0257494124674338,0.0168223064472991,1.53067075243823,0.12585078571901,-0.00722170230616831,0.0587205272410359,"season","Soil quality"
"seasonWinter",0.032208172727157,0.0362632648481521,0.888176309056139,0.374445920268122,-0.0388665203370586,0.103282865791373,"season","Soil quality"
"intrcpt",0.0370031920612212,0.0162046435072088,2.28349312619929,0.0224013372980237,0.00524267440478119,0.0687637097176612,"soil_texture","Soil quality"
"soil_textureSand",-0.00201695666209347,0.00308381826067284,-0.654045242488901,0.513082658016109,-0.0080611293878792,0.00402721606369226,"soil_texture","Soil quality"
"soil_textureSilt",-0.0374363369272765,0.0543603781270233,-0.68866954603957,0.491031244944672,-0.143980720242221,0.069108046387668,"soil_texture","Soil quality"
"intrcpt",0.0159089261024257,0.0147127977958267,1.08129849422238,0.279564357033234,-0.0129276276892149,0.0447454798940664,"tree_type","Water quality"
"tree_typeTimber",-0.000764157835968847,0.000510998442757467,-1.4954210659533,0.134804586092824,-0.00176569637992954,0.000237380707991841,"tree_type","Water quality"
"intrcpt",-0.000807326142140562,0.0341053384438114,-0.0236715475927803,0.981114601376073,-0.0676525611725602,0.0660379088882791,"crop_type","Water quality"
"crop_typeLegume",0.0221801340331184,0.039489338927616,0.561673976709882,0.574338167828995,-0.0552175480383044,0.0995778161045412,"crop_type","Water quality"
"intrcpt",0.0302643612466752,0.021997115828083,1.37583315391001,0.168873294477368,-0.0128491935401234,0.0733779160334738,"age_system","Water quality"
"age_systemMedium",-0.0288323313273114,0.0307965593069043,-0.936219239298187,0.349160319390149,-0.0891924784165956,0.0315278157619728,"age_system","Water quality"
"intrcpt",0.0154871450759449,0.014827904464011,1.04445945909174,0.296272866530673,-0.0135750136397174,0.0445493037916072,"season","Water quality"
"intrcpt",0.0151447682664569,0.0147115159301383,1.02944987711505,0.303268321566968,-0.0136892731146014,0.0439788096475152,"soil_texture","Water quality"
"soil_textureSand",0.000764157835968847,0.000510998442757467,1.4954210659533,0.134804586092824,-0.000237380707991841,0.00176569637992953,"soil_texture","Water quality"
