id_article,id_obs,treat_id,exp_id,response_variable,sub_response_variable,location,sub_region,final_lat,final_lon,exp_site_loc,experiment_year,tree_type,crop_type,age_system,tree_age,season,soil_texture,no_tree_per_m,tree_height,alley_width,silvo_mean,silvo_sd,silvo_n,control_mean,control_sd,control_n,lat,lon,experimental_design,comparator,year_est_exp,age_system_yrs,measured_metrics,measured_unit,distance_tree_m,study_year_start,study_year_end,comments,site_x,climate_zone,silvo_se,control_se
2,11,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Winter,Silt,NA,Short,Wide,5.23,NA,2,7.38,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of winter wheat,t/ha,4,2018-01-01,2019-01-01,Yield of winter wheat at 4 m from tree row at leeward side,"52.331667, 10.631111",15,3.1,1.1
2,12,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Winter,Silt,NA,Short,Wide,6.59,NA,2,7.1,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of winter wheat,t/ha,7,2018-01-01,2019-01-01,Yield of winter wheat at 7 m from tree row at windward side,"52.331667, 10.631111",15,22.5,4.6
2,13,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Winter,Silt,NA,Short,Wide,5.97,NA,2,7.53,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of winter wheat,t/ha,7,2018-01-01,2019-01-01,Yield of winter wheat at 7 m from tree row at leeward side,"52.331667, 10.631111",15,3.7,2.65
2,14,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Winter,Silt,NA,Short,Wide,7.53,NA,2,7.93,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of winter wheat,t/ha,24,2018-01-01,2019-01-01,Yield of winter wheat at 24 m from tree row at windward side,"52.331667, 10.631111",15,3,1.44
2,15,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Winter,Silt,NA,Short,Wide,7.55,NA,2,7.9,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of winter wheat,t/ha,24,2018-01-01,2019-01-01,Yield of winter wheat at 24 m from tree row at leeward side,"52.331667, 10.631111",15,1.2,2.23
2,16,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Summer,Silt,NA,Short,Wide,0.66,NA,2,12.94,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of silage maize,t/ha,1,2018-01-01,2019-01-01,Yield of silage maize at 1 m from tree row at windward side,"52.331667, 10.631111",15,3.7,2.65
2,17,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Summer,Silt,NA,Short,Wide,0.34,NA,2,15.21,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of silage maize,t/ha,1,2018-01-01,2019-01-01,Yield of silage maize at 1 m from tree row at leeward side,"52.331667, 10.631111",15,1,0.063
2,18,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Summer,Silt,NA,Short,Wide,11.81,NA,2,13.67,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of silage maize,t/ha,4,2018-01-01,2019-01-01,Yield of silage maize at 4 m from tree row at windward side,"52.331667, 10.631111",15,3.7,1.1
2,19,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Summer,Silt,NA,Short,Wide,7.67,NA,2,13.62,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of silage maize,t/ha,4,2018-01-01,2019-01-01,Yield of silage maize  at 4 m from tree row at leeward side,"52.331667, 10.631111",15,3.7,2.45
2,20,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Summer,Silt,NA,Short,Wide,14.27,NA,2,15.16,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of silage maize,t/ha,7,2018-01-01,2019-01-01,Yield of silage maize at 7 m from tree row at windward side,"52.331667, 10.631111",15,3.7,2.53
2,21,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Summer,Silt,NA,Short,Wide,9.79,NA,2,14.74,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of silage maize,t/ha,7,2018-01-01,2019-01-01,Yield of silage maize at 7 m from tree row at leeward side,"52.331667, 10.631111",15,0.63,0.12
2,22,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Summer,Silt,NA,Short,Wide,16.04,NA,2,16.02,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of silage maize,t/ha,24,2018-01-01,2019-01-01,Yield of silage maize at 24 m from tree row at windward side,"52.331667, 10.631111",15,12.2,1.2
2,23,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Summer,Silt,NA,Short,Wide,16.69,NA,2,14.79,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of silage maize,t/ha,24,2018-01-01,2019-01-01,Yield of silage maize at 24 m from tree row at leeward side,"52.331667, 10.631111",15,0,0.3
3,24,5,5,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2009-01-01,Biomass,Cereal,Medium,7,Winter,Silt,NA,Short,Wide,3.5,NA,2,6.3,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤7,Yield of winter wheat,t/ha,1,2016-01-01,2017-01-01,Yield of winter wheat at 1 m from tree row at windward side,"52.331667, 10.631111",15,244,177
3,25,5,5,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2009-01-01,Biomass,Cereal,Medium,7,Winter,Silt,NA,Short,Wide,3.1,NA,2,6.4,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤7,Yield of winter wheat,t/ha,1,2016-01-01,2017-01-01,Yield of winter wheat at 1 m from tree row at leeward side,"52.331667, 10.631111",15,2.4,0
3,26,5,5,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2009-01-01,Biomass,Cereal,Medium,7,Winter,Silt,NA,Short,Wide,5.9,NA,2,6.9,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤7,Yield of winter wheat,t/ha,4,2016-01-01,2017-01-01,Yield of winter wheat at 4 m from tree row at windward side,"52.331667, 10.631111",15,1,0.69
3,27,5,5,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2009-01-01,Biomass,Cereal,Medium,7,Winter,Silt,NA,Short,Wide,5,NA,2,7.3,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤7,Yield of winter wheat,t/ha,4,2016-01-01,2017-01-01,Yield of winter wheat at 4 m from tree row at leeward side,"52.331667, 10.631111",15,101.2,68
3,28,5,5,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2009-01-01,Biomass,Cereal,Medium,7,Winter,Silt,NA,Short,Wide,6.2,NA,2,7.7,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤7,Yield of winter wheat,t/ha,7,2016-01-01,2017-01-01,Yield of winter wheat at 7 m from tree row at windward side,"52.331667, 10.631111",15,130,145
3,29,5,5,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2009-01-01,Biomass,Cereal,Medium,7,Winter,Silt,NA,Short,Wide,6.1,NA,2,8.1,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤7,Yield of winter wheat,t/ha,7,2016-01-01,2017-01-01,Yield of winter wheat at 7 m from tree row at leeward side,"52.331667, 10.631111",15,15,1.9
3,30,5,5,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2009-01-01,Biomass,Cereal,Medium,7,Winter,Silt,NA,Short,Wide,7.6,NA,2,7.5,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤7,Yield of winter wheat,t/ha,24,2016-01-01,2017-01-01,Yield of winter wheat at 24 m from tree row at windward side,"52.331667, 10.631111",15,0,0.2
3,31,5,5,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2009-01-01,Biomass,Cereal,Medium,7,Winter,Silt,NA,Short,Wide,6.5,NA,2,6.9,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤7,Yield of winter wheat,t/ha,24,2016-01-01,2017-01-01,Yield of winter wheat at 24 m from tree row at leeward side,"52.331667, 10.631111",15,1,0.063
3,32,5,5,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2009-01-01,Biomass,Cereal,Medium,7,Winter,Silt,NA,Short,Wide,3.1094999999999997,0.8050410703808843,2,3.2385,0.42320340854014876,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤7,Yield of winter wheat,t/ha,Alley,2009-01-01,2016-01-01,Yield of oilseed rape at 48 m (Narrow crop alley),"52.331667, 10.631111",15,0.5692499999999999,0.29925
3,33,5,5,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2009-01-01,Biomass,Cereal,Medium,7,Winter,Silt,NA,Short,Wide,3.496,0.9758073580374356,2,3.2385,0.42320340854014876,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤7,Yield of winter wheat,t/ha,Alley,2009-01-01,2016-01-01,Yield of oilseed rape at 96 m (Wide crop alley),"52.331667, 10.631111",15,0.69,0.29925
3,34,5,5,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2009-01-01,Biomass,Cereal,Medium,7,Winter,Silt,NA,Short,Wide,7.25,0.7919595949289333,2,7.61,0.5515432893255071,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤7,Yield of winter wheat,t/ha,Alley,2009-01-01,2016-01-01,Yield of winter wheat at 48 m (Narrow crop alley),"52.331667, 10.631111",15,0.56,0.39
3,35,5,5,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2009-01-01,Biomass,Cereal,Medium,7,Winter,Silt,NA,Short,Wide,7.42,0.6363961030678928,2,7.61,0.5515432893255071,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤7,Yield of winter wheat,t/ha,Alley,2009-01-01,2016-01-01,Yield of winter wheat at 96 m (Wide crop alley),"52.331667, 10.631111",15,0.45,0.39
4,36,7,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Timber,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,7.38,3.52,256,7.36,7.52,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,0.5,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.22,0.47
4,37,7,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Timber,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,4.23,3.36,256,4.4,14.72,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,0.5,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.21,0.92
4,38,7,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Timber,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,6.89,6.08,256,6.5,8.96,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,3,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.38,0.56
4,39,7,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Timber,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,4.16,6.56,256,4.7,14.08,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,3,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.41,0.88
4,40,7,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Timber,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,7.21,14.08,256,7.02,8.48,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,5.5,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.88,0.53
4,41,7,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Timber,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,4.14,7.2,256,4.25,3.04,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,5.5,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.45,0.19
4,42,6,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Biomass,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,7,9.28,256,7.36,7.52,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,0.5,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.58,0.47
4,43,6,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Biomass,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,4.61,5.28,256,4.4,14.72,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,0.5,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.33,0.92
4,44,6,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Biomass,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,7.02,5.76,256,6.5,8.96,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,3,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.36,0.56
4,45,6,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Biomass,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,4.16,7.68,256,4.7,14.08,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,3,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.48,0.88
4,46,6,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Biomass,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,6.91,6.56,256,7.02,8.48,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,5.5,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.41,0.53
4,47,6,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Biomass,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,4.46,8.64,256,4.25,3.04,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,5.5,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.54,0.19
4,48,7,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Timber,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,5.26,10.56,256,7.36,7.52,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,0.5,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.66,0.47
4,49,7,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Timber,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,2.55,2.88,256,4.4,14.72,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,0.5,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.18,0.92
4,50,7,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Timber,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,6.87,11.36,256,6.5,8.96,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,3,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.71,0.56
4,51,7,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Timber,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,3.82,3.84,256,4.7,14.08,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,3,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.24,0.88
4,52,7,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Timber,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,6.63,3.84,256,7.02,8.48,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,5.5,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.24,0.53
4,53,7,6,Biodiversity,Fungi,"Guelph, Ontario",Arid North America,43.5333,80.2,"43.5333, 80.2",2007-01-01,Timber,Legume,Mature,20,Summer,Sand,NA,NA,Narrow,4.29,5.92,256,4.25,3.04,256,43.5333,80.2,Randomized complete block design,Monoculture,1987-01-01,20,Fungi,Species richness,5.5,2007-01-01,2008-01-01,Measurement done in soil and roots at different distance from tree row for different species,"43.5333, 80.2",7,0.37,0.19
5,54,10,7,Water quality,Nutrient concentration,Saint Rémi,Pacific Northwest USA,45.2591064,-73.6188315,"45.2591064, -73.6188315",2006-01-01,Timber,Cereal,Medium,6,Summer,Clay,NA,Short,Narrow,0.36,0.44821869662029945,41,0.16,0.32015621187164245,41,NA,NA,NA,Monoculture,2000-01-01,≤9,NH4+ concentration,ppm,NA,2006-01-01,2009-01-01,"Average NH4 + concentrations at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",Saint Rémi,26,0.07,0.05
5,55,10,7,Water quality,Nutrient concentration,Saint Rémi,Pacific Northwest USA,45.2591064,-73.6188315,"45.2591064, -73.6188315",2006-01-01,Timber,Cereal,Medium,6,Summer,Clay,NA,Short,Narrow,0.46,0.3841874542459709,41,0.19,0.44821869662029945,41,NA,NA,NA,Monoculture,2000-01-01,≤9,NH4+ concentration,ppm,NA,2006-01-01,2009-01-01,"Average NH4 + concentrations at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",Saint Rémi,26,0.06,0.07
5,56,10,7,Water quality,Nutrient concentration,Saint Rémi,Pacific Northwest USA,45.2591064,-73.6188315,"45.2591064, -73.6188315",2006-01-01,Timber,Cereal,Medium,6,Summer,Clay,NA,Short,Narrow,0.53,0.44821869662029945,41,0.18,0.44821869662029945,41,NA,NA,NA,Monoculture,2000-01-01,≤9,NH4+ concentration,ppm,NA,2006-01-01,2009-01-01,"Average NH4 + concentrations at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",Saint Rémi,26,0.07,0.07
5,57,10,7,Water quality,Nutrient concentration,Saint Rémi,Pacific Northwest USA,45.2591064,-73.6188315,"45.2591064, -73.6188315",2006-01-01,Timber,Cereal,Medium,6,Summer,Clay,NA,Short,Narrow,0.504,0.37138120577110556,41,0.191,0.44821869662029945,41,NA,NA,NA,Monoculture,2000-01-01,≤9,NH4+ concentration,ppm,NA,2006-01-01,2009-01-01,"Average NH4 + concentrations at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",Saint Rémi,26,0.05800000000000005,0.07
5,58,10,7,Water quality,Nutrient concentration,Saint Rémi,Pacific Northwest USA,45.2591064,-73.6188315,"45.2591064, -73.6188315",2006-01-01,Timber,Cereal,Medium,6,Summer,Clay,NA,Short,Narrow,0.39,0.44821869662029945,41,0.148,0.44821869662029945,41,NA,NA,NA,Monoculture,2000-01-01,≤9,NH4+ concentration,ppm,NA,2006-01-01,2009-01-01,"Average NH4 + concentrations at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",Saint Rémi,26,0.07,0.07
