id_article,response_variable,measured_metrics,measured_unit,silvo_mean,silvo_se,silvo_sd,silvo_n,control_mean,control_se,control_sd,control_n,id_obs,experimental_design,comparator,tree_crop_combination,tree_crop_combination_t,category_no,year_est_exp,age_system_yrs,age_system,tree_age,season,tree_row_orientation,soil_texture,no_tree_per_m,tree_height,alley_width,tillage,organic,sub_response_variable,distance_tree_m,study_year_start,study_year_end,comments,min_value_shift,yi,vi
2,Crop yield,Yield of winter wheat,t/ha,24.375,0.26,0.36769552621700474,2,26.525,2.5,3.5355339059327378,2,11,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,4,2018,2019,Yield of winter wheat at 4 m from tree row at leeward side,19.145,-0.08452966761613592,0.008996973525214313
2,Crop yield,Yield of winter wheat,t/ha,25.735,0.101,0.14283556979968262,2,26.244999999999997,0.69,0.9758073580374356,2,12,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,7,2018,2019,Yield of winter wheat at 7 m from tree row at windward side,19.145,-0.019623561599545217,7.066046784608237e-4
2,Crop yield,Yield of winter wheat,t/ha,25.115,4.1,5.79827560572969,2,26.675,3.79,5.359869401394031,2,13,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,7,2018,2019,Yield of winter wheat at 7 m from tree row at leeward side,19.145,-0.06026151998580913,0.04683715058926243
2,Crop yield,Yield of winter wheat,t/ha,26.675,1.2,1.697056274847714,2,27.075,2.5,3.5355339059327378,2,14,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,24,2018,2019,Yield of winter wheat at 24 m from tree row at windward side,19.145,-0.014883995699237216,0.010549690962145357
2,Crop yield,Yield of silage maize,t/ha,19.805,8.3,11.73797256769669,2,32.085,4.47,6.321534623807735,2,16,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Summer,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,1,2018,2019,Yield of silage maize at 1 m from tree row at windward side,19.145,-0.48245420012859863,0.1950424988508437
2,Crop yield,Yield of silage maize,t/ha,19.485,30.8,43.557777721091334,2,34.355000000000004,120.5,170.41273426595797,2,17,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Summer,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,1,2018,2019,Yield of silage maize at 1 m from tree row at leeward side,19.145,-0.5671026296923669,14.80114537490537
2,Crop yield,Yield of silage maize,t/ha,30.955,4.3,6.081118318204309,2,32.815,3.741120944303733,5.2907439779123795,2,18,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Summer,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,4,2018,2019,Yield of silage maize at 4 m from tree row at windward side,19.145,-0.058351190954490637,0.032293821317728066
2,Crop yield,Yield of silage maize,t/ha,26.814999999999998,13.5,19.091883092036785,2,32.765,8.71,12.31780012826966,2,19,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Summer,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,4,2018,2019,Yield of silage maize  at 4 m from tree row at leeward side,19.145,-0.2003994400565718,0.32412834912330135
2,Crop yield,Yield of silage maize,t/ha,33.415,0.5,0.7071067811865476,2,34.305,1.8,2.5455844122715714,2,20,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Summer,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,7,2018,2019,Yield of silage maize at 7 m from tree row at windward side,19.145,-0.026286215179820754,0.0029770533715657486
2,Crop yield,Yield of silage maize,t/ha,28.935,0.16100000000000003,0.22768838354206836,2,33.885,2.3,3.2526911934581184,2,21,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Summer,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,7,2018,2019,Yield of silage maize at 7 m from tree row at leeward side,19.145,-0.15792050356227416,0.004638198745222797
2,Crop yield,Yield of silage maize,t/ha,35.185,43.43,61.41929501386352,2,35.165,120.5,170.41273426595797,2,22,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Summer,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,24,2018,2019,Yield of silage maize at 24 m from tree row at windward side,19.145,5.685856585308242e-4,13.265868798828564
2,Crop yield,Yield of silage maize,t/ha,35.835,76,107.48023074035522,2,33.935,369.9,523.1175967218079,2,23,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Summer,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,24,2018,2019,Yield of silage maize at 24 m from tree row at leeward side,19.145,0.054478139290160835,123.31338713168346
3,Crop yield,Yield of winter wheat,t/ha,22.645,0.5,0.7071067811865476,2,25.445,1.8,2.5455844122715714,2,24,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤7,Young,7,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,1,2016,2017,Yield of winter wheat at 1 m from tree row at windward side,19.145,-0.1165801830326188,0.005491785977226244
3,Crop yield,Yield of winter wheat,t/ha,22.245,0.5,0.7071067811865476,2,25.545,1.8,2.5455844122715714,2,25,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤7,Young,7,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,1,2016,2017,Yield of winter wheat at 1 m from tree row at leeward side,19.145,-0.13832433852475626,0.005470373188435991
3,Crop yield,Yield of winter wheat,t/ha,25.045,23,32.526911934581186,2,26.045,17.7,25.031580054003783,2,26,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤7,Young,7,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,4,2016,2017,Yield of winter wheat at 4 m from tree row at windward side,19.145,-0.03915160438757477,1.3052078293951206
3,Crop yield,Yield of winter wheat,t/ha,24.145,0.5,0.7071067811865476,2,26.445,0.12,0.16970562748477142,2,27,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤7,Young,7,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,4,2016,2017,Yield of winter wheat at 4 m from tree row at leeward side,19.145,-0.09098978519243804,4.494213247141573e-4
3,Crop yield,Yield of winter wheat,t/ha,25.345,0.26,0.36769552621700474,2,26.845,4.4,6.222539674441619,2,28,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤7,Young,7,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,7,2016,2017,Yield of winter wheat at 7 m from tree row at windward side,19.145,-0.05749811195022019,0.026969721508189926
3,Crop yield,Yield of winter wheat,t/ha,25.244999999999997,0.16100000000000003,0.22768838354206836,2,27.244999999999997,1,1.4142135623730951,2,29,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤7,Young,7,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,7,2016,2017,Yield of winter wheat at 7 m from tree row at leeward side,19.145,-0.07624190172418262,0.0013878548352702677
3,Crop yield,Yield of winter wheat,t/ha,26.744999999999997,8.3,11.73797256769669,2,26.645,7.85,11.101576464628796,2,30,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤7,Young,7,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,24,2016,2017,Yield of winter wheat at 24 m from tree row at windward side,19.145,0.0037460242344678684,0.1831075401981942
3,Crop yield,Yield of winter wheat,t/ha,25.645,3.9,5.515432893255071,2,26.045,3.79,5.359869401394031,2,31,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤7,Young,7,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,24,2016,2017,Yield of winter wheat at 24 m from tree row at leeward side,19.145,-0.015477190355923126,0.04430254607067776
3,Crop yield,Yield of winter wheat,t/ha,22.2545,0.5692499999999999,0.8050410703808843,2,22.383499999999998,0.29925,0.42320340854014876,2,32,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤7,Young,7,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,Alley,2009,2016,Yield of oilseed rape at 48 m (Narrow crop alley),19.145,-0.005779844935742143,8.330262907393294e-4
3,Crop yield,Yield of winter wheat,t/ha,22.641,0.69,0.9758073580374356,2,22.383499999999998,0.29925,0.42320340854014876,2,33,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤7,Young,7,Winter,NS,Silty  clay,1,6,96,Yes,No,Yield of annual crops,Alley,2009,2016,Yield of oilseed rape at 96 m (Wide crop alley),19.145,0.011438341681044439,0.0011075035390792282
3,Crop yield,Yield of winter wheat,t/ha,26.395,0.56,0.7919595949289333,2,26.755,0.39,0.5515432893255071,2,34,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤7,Young,7,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,Alley,2009,2016,Yield of winter wheat at 48 m (Narrow crop alley),19.145,-0.013546773487688315,6.626051813889782e-4
3,Crop yield,Yield of winter wheat,t/ha,26.564999999999998,0.45,0.6363961030678928,2,26.755,0.39,0.5515432893255071,2,35,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤7,Young,7,Winter,NS,Silty  clay,1,6,96,Yes,No,Yield of annual crops,Alley,2009,2016,Yield of winter wheat at 96 m (Wide crop alley),19.145,-0.007126811860361476,4.994300531383249e-4
4,Biodiversity,Fungi,Species richness,26.525,0.22,3.52,256,26.505,0.47,7.52,256,36,Randomized complete block design,Monoculture,Timber-Legume,White ash-Legume,4,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,0.5,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,7.54290060277428e-4,3.832331411974841e-4
4,Biodiversity,Fungi,Species richness,23.375,0.21,3.36,256,23.545,0.92,14.72,256,37,Randomized complete block design,Monoculture,Timber-Legume,White ash-Legume,4,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,0.5,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,-0.00724640852076731,0.0016074978253034402
4,Biodiversity,Fungi,Species richness,26.035,0.38,6.08,256,25.645,0.56,8.96,256,38,Randomized complete block design,Monoculture,Timber-Legume,White ash-Legume,4,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,3,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,0.015093165773630585,6.898732930625417e-4
4,Biodiversity,Fungi,Species richness,23.305,0.41,6.56,256,23.845,0.88,14.08,256,39,Randomized complete block design,Monoculture,Timber-Legume,White ash-Legume,4,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,3,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,-0.0229066219254834,0.001671486180080696
4,Biodiversity,Fungi,Species richness,26.355,0.88,14.08,256,26.165,0.53,8.48,256,40,Randomized complete block design,Monoculture,Timber-Legume,White ash-Legume,4,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,5.5,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,0.007235370482999154,0.0015252169579361781
4,Biodiversity,Fungi,Species richness,23.285,0.45,7.2,256,23.395,0.19,3.04,256,41,Randomized complete block design,Monoculture,Timber-Legume,White ash-Legume,4,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,5.5,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,-0.004712947883839032,4.394414974780348e-4
4,Biodiversity,Fungi,Species richness,26.145,0.58,9.28,256,26.505,0.47,7.52,256,42,Randomized complete block design,Monoculture,Biomass-Legume,Poplar-Legume,5,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,0.5,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,-0.013675426799675495,8.065703753717026e-4
4,Biodiversity,Fungi,Species richness,23.755,0.33,5.28,256,23.545,0.92,14.72,256,43,Randomized complete block design,Monoculture,Biomass-Legume,Poplar-Legume,5,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,0.5,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,0.008879550943366534,0.001719768785576814
4,Biodiversity,Fungi,Species richness,26.165,0.36,5.76,256,25.645,0.56,8.96,256,44,Randomized complete block design,Monoculture,Biomass-Legume,Poplar-Legume,5,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,3,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,0.02007401898293931,6.661433958687109e-4
4,Biodiversity,Fungi,Species richness,23.305,0.48,7.68,256,23.845,0.88,14.08,256,45,Randomized complete block design,Monoculture,Biomass-Legume,Poplar-Legume,5,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,3,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,-0.0229066219254834,0.001786193156460495
4,Biodiversity,Fungi,Species richness,26.055,0.41,6.56,256,26.165,0.53,8.48,256,46,Randomized complete block design,Monoculture,Biomass-Legume,Poplar-Legume,5,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,5.5,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,-0.004212951462993138,6.579281693634878e-4
4,Biodiversity,Fungi,Species richness,23.605,0.54,8.64,256,23.395,0.19,3.04,256,47,Randomized complete block design,Monoculture,Biomass-Legume,Poplar-Legume,5,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,5.5,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,0.00893622968007051,5.892917055594909e-4
4,Biodiversity,Fungi,Species richness,24.405,0.66,10.56,256,26.505,0.47,7.52,256,48,Randomized complete block design,Monoculture,Timber-Legume,Norway spruce-Legume,4,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,0.5,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,-0.08254536510065856,0.0010458000619836096
4,Biodiversity,Fungi,Species richness,21.695,0.18,2.88,256,23.545,0.92,14.72,256,49,Randomized complete block design,Monoculture,Timber-Legume,Norway spruce-Legume,4,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,0.5,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,-0.08183166444520396,0.0015956239349569504
4,Biodiversity,Fungi,Species richness,26.015,0.71,11.36,256,25.645,0.56,8.96,256,50,Randomized complete block design,Monoculture,Timber-Legume,Norway spruce-Legume,4,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,3,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,0.014324673901035055,0.0012216881373581477
4,Biodiversity,Fungi,Species richness,22.965,0.24,3.84,256,23.845,0.88,14.08,256,51,Randomized complete block design,Monoculture,Timber-Legume,Norway spruce-Legume,4,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,3,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,-0.037603233972430906,0.0014711967104764259
4,Biodiversity,Fungi,Species richness,25.775,0.24,3.84,256,26.165,0.53,8.48,256,52,Randomized complete block design,Monoculture,Timber-Legume,Norway spruce-Legume,4,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,5.5,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,-0.015017609921147552,4.970094664680693e-4
4,Biodiversity,Fungi,Species richness,23.435,0.37,5.92,256,23.395,0.19,3.04,256,53,Randomized complete block design,Monoculture,Timber-Legume,Norway spruce-Legume,4,1987,20,Mature,20,Summer,NA,Sandy loam,0.33333333333333331,NA,15,No,No,Fungi,5.5,2007,2008,Measurement done in soil and roots at different distance from tree row for different species,19.145,0.0017083070564896993,3.1522905137356105e-4
5,Water quality,NH4+ concentration,ppm,18.785,0.07,0.44821869662029945,41,18.985,0.05,0.32015621187164245,41,54,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient concentration,NA,2006,2009,"Average NH4 + concentrations at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,-0.010590514657833415,2.082204399910153e-5
5,Water quality,NH4+ concentration,ppm,18.685,0.06,0.3841874542459709,41,18.955,0.07,0.44821869662029945,41,55,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient concentration,NA,2006,2009,"Average NH4 + concentrations at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,-0.014346686030850972,2.3949299662529156e-5
5,Water quality,NH4+ concentration,ppm,18.615,0.07,0.44821869662029945,41,18.965,0.07,0.44821869662029945,41,56,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient concentration,NA,2006,2009,"Average NH4 + concentrations at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,-0.018627467816182134,2.7764223388994847e-5
5,Water quality,NH4+ concentration,ppm,18.641,0.05800000000000005,0.37138120577110556,41,18.954,0.07,0.44821869662029945,41,57,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient concentration,NA,2006,2009,"Average NH4 + concentrations at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,-0.016651535160894772,2.3320311542365826e-5
5,Water quality,NH4+ concentration,ppm,18.755,0.07,0.44821869662029945,41,18.997,0.07,0.44821869662029945,41,58,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient concentration,NA,2006,2009,"Average NH4 + concentrations at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,-0.012820688429061434,2.7508041825363944e-5
5,Water quality,NH4+ concentration,ppm,18.851,0.06,0.3841874542459709,41,18.974999999999998,0.233,1.4919279473218539,41,59,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient concentration,NA,2006,2009,"Average NH4 + concentrations at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,-0.006556360396918431,1.6091214020332815e-4
5,Water quality,NH4+ concentration,ppm,19.125,0.005999999999999998,0.038418745424597084,41,19.099,0.08,0.5122499389946279,41,60,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient concentration,NA,2006,2009,"Average NH4 + concentrations at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,0.0013604020515819825,1.7643639575586242e-5
5,Water quality,NH4+ concentration,ppm,19.105,0.013999999999999999,0.08964373932405988,41,19.137,0.006,0.03841874542459709,41,62,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient concentration,NA,2006,2009,"Average NH4 + concentrations at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,-0.0016735530290646985,6.352850806740849e-7
5,Water quality,NH4+ leaching,kg N ha-1,19.086,0.01100000000000001,0.07043436661176139,41,19.117,0.007999999999999997,0.051224993899462765,41,63,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient leaching,NA,2006,2009,"Average NH4+ leached at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,-0.0016229095518193303,5.072881846344644e-7
5,Water quality,NH4+ leaching,kg N ha-1,19.038999999999998,0.011999999999999997,0.07683749084919417,41,19.101,0.015,0.09604686356149272,41,64,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient leaching,NA,2006,2009,"Average NH4+ leached at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,-0.0032511827274585804,1.013954270392346e-6
5,Water quality,NH4+ leaching,kg N ha-1,18.902,0.027000000000000024,0.17288435441068706,41,19.052,0.034,0.21770622407271686,41,65,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient leaching,NA,2006,2009,"Average NH4+ leached at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,-0.007904346365749491,5.225144318279103e-6
5,Water quality,NH4+ leaching,kg N ha-1,19.083,0.008999999999999994,0.0576281181368956,41,19.114,0.012999999999999998,0.08324061508662702,41,66,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient leaching,NA,2006,2009,"Average NH4+ leached at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,-0.0016231644792111216,6.850056321101556e-7
5,Water quality,NH4+ leaching,kg N ha-1,19.067999999999998,0.012999999999999998,0.08324061508662702,41,19.099,0.018000000000000002,0.1152562362737913,41,67,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient leaching,NA,2006,2009,"Average NH4+ leached at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,-0.0016244403184383677,1.353037576802361e-6
5,Water quality,NH4+ leaching,kg N ha-1,19.102,0.008,0.05122499389946279,41,19.101,0.018000000000000002,0.1152562362737913,41,68,NA,Monoculture,Mixed-Cereal,Mixed-Cereal,6,2000,≤9,Young,6,Summer,NS,Clay loam,0.5,8,6,Yes,No,Nutrient leaching,NA,2006,2009,"Average NH4+ leached at each sampling date, and average leaching losses per sampling step, in non-trenched versus trenched plots at St-Re´mi in 2006",19.145,5.2351909547895544e-5,1.0634376111570253e-6
