ID.P,STUDY.NO,ID.S,...4,AUTHOR,TITLE,STUDY.LOC.COUNTRY,STUDY.LOC.SPEC,STUDY.LOC.SPEC.COORDS,...10,CROP.SPECIES,CROP.GENUS.GROUP,CROP.SPECIES.GROUP,BROAD.CATEGORIES.CROP.SPECIES,CROP.OUTPUT.GROUP
9,NA,3,NA,"Beuschel, R., Piepho, H. P., Joergensen, R. G. and Wachendorf, C.",Similar spatial patterns of soil quality indicators in three poplar-based silvo-arable alley cropping systems in Germany,Germany,Several locations,Lusatia,NA,Beta vulgaris,Beta,vulgaris,NA,Sugar crops
9,NA,3,NA,"Beuschel, R., Piepho, H. P., Joergensen, R. G. and Wachendorf, C.",Similar spatial patterns of soil quality indicators in three poplar-based silvo-arable alley cropping systems in Germany,Germany,Several locations,Lusatia,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
9,NA,3,NA,"Beuschel, R., Piepho, H. P., Joergensen, R. G. and Wachendorf, C.",Similar spatial patterns of soil quality indicators in three poplar-based silvo-arable alley cropping systems in Germany,Germany,Several locations,Lusatia,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
9,NA,4,NA,"Beuschel, R., Piepho, H. P., Joergensen, R. G. and Wachendorf, C.",Similar spatial patterns of soil quality indicators in three poplar-based silvo-arable alley cropping systems in Germany,Germany,Several locations,Brandenburg,NA,Beta vulgaris,Beta,vulgaris,NA,Sugar crops
9,NA,4,NA,"Beuschel, R., Piepho, H. P., Joergensen, R. G. and Wachendorf, C.",Similar spatial patterns of soil quality indicators in three poplar-based silvo-arable alley cropping systems in Germany,Germany,Several locations,Brandenburg,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
9,NA,4,NA,"Beuschel, R., Piepho, H. P., Joergensen, R. G. and Wachendorf, C.",Similar spatial patterns of soil quality indicators in three poplar-based silvo-arable alley cropping systems in Germany,Germany,Several locations,Brandenburg,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
11,10,1,NA,"Bohm, C., Kanzler, M. and Freese, D.",Wind speed reductions as influenced by woody hedgerows grown for biomass in short rotation alley cropping systems in Germany,Germany,Several locations,Forst,NA,Medicago sativa,Medicago,sativa,NA,Forage crops
11,NA,1,NA,"Bohm, C., Kanzler, M. and Freese, D.",Wind speed reductions as influenced by woody hedgerows grown for biomass in short rotation alley cropping systems in Germany,Germany,Several locations,Forst,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
11,NA,1,NA,"Bohm, C., Kanzler, M. and Freese, D.",Wind speed reductions as influenced by woody hedgerows grown for biomass in short rotation alley cropping systems in Germany,Germany,Several locations,Forst,NA,Avena sativa,Avena,sativa,NA,Cereals
11,NA,1,NA,"Bohm, C., Kanzler, M. and Freese, D.",Wind speed reductions as influenced by woody hedgerows grown for biomass in short rotation alley cropping systems in Germany,Germany,Several locations,Forst,NA,Secale cereale,Secale,cereale,NA,Cereals
11,NA,2,NA,"Bohm, C., Kanzler, M. and Freese, D.",Wind speed reductions as influenced by woody hedgerows grown for biomass in short rotation alley cropping systems in Germany,Germany,Several locations,Spremberg,NA,Lupinus spp.,Lupinus,spp.,NA,Pulses
11,NA,2,NA,"Bohm, C., Kanzler, M. and Freese, D.",Wind speed reductions as influenced by woody hedgerows grown for biomass in short rotation alley cropping systems in Germany,Germany,Several locations,Spremberg,NA,Solanum tuberosum,Solanum,tuberosum,NA,Roots and tuber crops
12,11,1,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Gers,NA,Helianthus spp.,Helianthus,spp.,NA,Oil crops
12,NA,1,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Gers,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
12,NA,2,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Gers,NA,Helianthus spp.,Helianthus,spp.,NA,Oil crops
12,NA,2,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Gers,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
12,NA,3,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Gers,NA,Vicia faba,Vicia,faba,NA,Forage crops
12,NA,3,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Gers,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
12,NA,4,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Gers,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
12,NA,4,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Gers,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
12,NA,5,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Pyrénées-Atlantiques,NA,Helianthus spp.,Helianthus,spp.,NA,Oil crops
12,NA,5,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Pyrénées-Atlantiques,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
12,NA,6,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Pyrénées-Atlantiques,NA,Glycine max,Glycine,max,NA,Pulses
12,NA,6,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Pyrénées-Atlantiques,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
12,NA,7,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Pyrénées-Atlantiques,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
12,NA,7,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Pyrénées-Atlantiques,NA,Pisum sativum,Pisum,sativum,NA,Pulses
12,NA,8,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Pyrénées-Atlantiques,NA,Trifolium repens,Trifolium,repens,NA,Forage crops
12,NA,8,NA,"Boinot, S., Fried, G., Storkey, J., Metcalfe, H., Barkaoui, K., Lauri, P. É. and Mézière, D.",Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,France,Several locations,Pyrénées-Atlantiques,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
18,13,1,NA,"Bouttier, L., Paquette, A., Messier, C., Rivest, D., Olivier, A. and Cogliastro, A.",Vertical root separation and light interception in a temperate tree-based intercropping system of Eastern Canada,Canada,Quebec,Saint-Paulin Quebec,NA,Fagopyrum esculentum,Fagopyrum,esculentum,NA,Cereals
18,NA,1,NA,"Bouttier, L., Paquette, A., Messier, C., Rivest, D., Olivier, A. and Cogliastro, A.",Vertical root separation and light interception in a temperate tree-based intercropping system of Eastern Canada,Canada,Quebec,Saint-Paulin Quebec,NA,Brassica napus subsp. napus,Brassica,napus subsp. napus,NA,Oil crops
18,NA,1,NA,"Bouttier, L., Paquette, A., Messier, C., Rivest, D., Olivier, A. and Cogliastro, A.",Vertical root separation and light interception in a temperate tree-based intercropping system of Eastern Canada,Canada,Quebec,Saint-Paulin Quebec,NA,Avena sativa,Avena,sativa,NA,Cereals
20,14,1,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,Gloucestershire,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
20,NA,1,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,Gloucestershire,NA,Vicia faba,Vicia,faba,NA,Forage crops
20,NA,1,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,Gloucestershire,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
20,NA,1,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,Gloucestershire,NA,Pisum sativum,Pisum,sativum,NA,Pulses
20,NA,1,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,Gloucestershire,NA,Brassica alba,Brassica,alba,NA,Oil crops
20,NA,1,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,Gloucestershire,NA,Brassica alba,Brassica,alba,NA,Oil crops
20,NA,2,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,West Yorkshire,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
20,NA,2,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,West Yorkshire,NA,Vicia faba,Vicia,faba,NA,Forage crops
20,NA,2,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,West Yorkshire,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
20,NA,2,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,West Yorkshire,NA,Pisum sativum,Pisum,sativum,NA,Pulses
20,NA,2,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,West Yorkshire,NA,Brassica alba,Brassica,alba,NA,Oil crops
20,NA,2,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,West Yorkshire,NA,Brassica alba,Brassica,alba,NA,Oil crops
20,NA,3,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,Bedfordshire,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
20,NA,3,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,Bedfordshire,NA,Vicia faba,Vicia,faba,NA,Forage crops
20,NA,3,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,Bedfordshire,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
20,NA,3,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,Bedfordshire,NA,Pisum sativum,Pisum,sativum,NA,Pulses
20,NA,3,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,Bedfordshire,NA,Brassica alba,Brassica,alba,NA,Oil crops
20,NA,3,NA,"Burgess, P. J., Incoll, L. D., Corry, D. T., Beaton, A. and Hart, B. J.",Poplar (Populus spp.) growth and crop yields in a silvoarable experiment at three lowland sites in England,England,Several locations,Bedfordshire,NA,Brassica alba,Brassica,alba,NA,Oil crops
24,15,1,NA,"Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., Durand, C., Kouakoua, E. and Chenu, C.",Increased soil organic carbon stocks under agroforestry: A survey of six different sites in France,France,Several locations,Châteaudun,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
24,NA,1,NA,"Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., Durand, C., Kouakoua, E. and Chenu, C.",Increased soil organic carbon stocks under agroforestry: A survey of six different sites in France,France,Several locations,Châteaudun,NA,Brassica napus subsp. napus,Brassica,napus subsp. napus,NA,Oil crops
24,NA,2,NA,"Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., Durand, C., Kouakoua, E. and Chenu, C.",Increased soil organic carbon stocks under agroforestry: A survey of six different sites in France,France,Several locations,Melle,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
24,NA,2,NA,"Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., Durand, C., Kouakoua, E. and Chenu, C.",Increased soil organic carbon stocks under agroforestry: A survey of six different sites in France,France,Several locations,Melle,NA,Brassica napus subsp. napus,Brassica,napus subsp. napus,NA,Oil crops
24,NA,2,NA,"Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., Durand, C., Kouakoua, E. and Chenu, C.",Increased soil organic carbon stocks under agroforestry: A survey of six different sites in France,France,Several locations,Melle,NA,Helianthus spp.,Helianthus,spp.,NA,Oil crops
24,NA,3,NA,"Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., Durand, C., Kouakoua, E. and Chenu, C.",Increased soil organic carbon stocks under agroforestry: A survey of six different sites in France,France,Several locations,Saint-Jean-d'Angély,NA,Helianthus spp.,Helianthus,spp.,NA,Oil crops
24,NA,3,NA,"Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., Durand, C., Kouakoua, E. and Chenu, C.",Increased soil organic carbon stocks under agroforestry: A survey of six different sites in France,France,Several locations,Saint-Jean-d'Angély,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
24,NA,3,NA,"Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., Durand, C., Kouakoua, E. and Chenu, C.",Increased soil organic carbon stocks under agroforestry: A survey of six different sites in France,France,Several locations,Saint-Jean-d'Angély,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
24,NA,4,NA,"Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., Durand, C., Kouakoua, E. and Chenu, C.",Increased soil organic carbon stocks under agroforestry: A survey of six different sites in France,France,Several locations,Vézénobres,NA,Brassica napus subsp. napus,Brassica,napus subsp. napus,NA,Oil crops
24,NA,4,NA,"Cardinael, R., Chevallier, T., Cambou, A., Béral, C., Barthès, B. G., Dupraz, C., Durand, C., Kouakoua, E. and Chenu, C.",Increased soil organic carbon stocks under agroforestry: A survey of six different sites in France,France,Several locations,Vézénobres,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
