ID.P,ID.S,ES.GROUPS,SAF System Trait type,CROP.OUTPUT.GROUP
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Oil crops
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,2,Disease regulation,Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Oil crops
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Oil crops
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Oil crops
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Oil crops
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Oil crops
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Oil crops
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Oil crops
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Oil crops
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Oil crops
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Oil crops
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Oil crops
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Oil crops
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Oil crops
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Oil crops
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Oil crops
8,3,Food (yield),Timber - Arable,Cereals
8,3,Food (yield),Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Oil crops
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Oil crops
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Oil crops
8,3,Disease regulation,Timber - Arable,Cereals
8,3,Disease regulation,Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Oil crops
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Oil crops
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Oil crops
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Oil crops
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Oil crops
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Oil crops
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Oil crops
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Oil crops
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Oil crops
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Oil crops
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Oil crops
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Oil crops
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Oil crops
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Oil crops
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Oil crops
8,4,Food (yield),Timber - Arable,Cereals
8,4,Food (yield),Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Oil crops
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Oil crops
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Oil crops
8,4,Disease regulation,Timber - Arable,Cereals
8,4,Disease regulation,Timber - Arable,Cereals
9,1,Biodiversity,Timber - Arable,Cereals
9,1,Biodiversity,Timber - Arable,Oil crops
9,1,Biodiversity,Timber - Arable,Cereals
9,1,Biodiversity,Timber - Arable,Cereals
9,1,Biodiversity,Timber - Arable,Oil crops
9,1,Biodiversity,Timber - Arable,Cereals
9,1,Biodiversity,Timber - Arable,Cereals
9,1,Biodiversity,Timber - Arable,Oil crops
9,1,Biodiversity,Timber - Arable,Cereals
9,1,Biological soil components,Timber - Arable,Cereals
9,1,Biological soil components,Timber - Arable,Oil crops
9,1,Biological soil components,Timber - Arable,Cereals
9,1,Biological soil components,Timber - Arable,Cereals
9,1,Biological soil components,Timber - Arable,Oil crops
9,1,Biological soil components,Timber - Arable,Cereals
9,1,Biological soil components,Timber - Arable,Cereals
9,1,Biological soil components,Timber - Arable,Oil crops
9,1,Biological soil components,Timber - Arable,Cereals
9,1,Greenhouse gas emissions,Timber - Arable,Cereals
9,1,Greenhouse gas emissions,Timber - Arable,Oil crops
9,1,Greenhouse gas emissions,Timber - Arable,Cereals
9,1,Greenhouse gas emissions,Timber - Arable,Cereals
9,1,Greenhouse gas emissions,Timber - Arable,Oil crops
9,1,Greenhouse gas emissions,Timber - Arable,Cereals
9,1,Greenhouse gas emissions,Timber - Arable,Cereals
9,1,Greenhouse gas emissions,Timber - Arable,Oil crops
9,1,Greenhouse gas emissions,Timber - Arable,Cereals
9,1,Biodiversity,Timber - Arable,Cereals
9,1,Biodiversity,Timber - Arable,Oil crops
9,1,Biodiversity,Timber - Arable,Cereals
9,1,Biodiversity,Timber - Arable,Cereals
9,1,Biodiversity,Timber - Arable,Oil crops
9,1,Biodiversity,Timber - Arable,Cereals
9,1,Biodiversity,Timber - Arable,Cereals
9,1,Biodiversity,Timber - Arable,Oil crops
9,1,Biodiversity,Timber - Arable,Cereals
9,1,Biological soil components,Timber - Arable,Cereals
9,1,Biological soil components,Timber - Arable,Oil crops
9,1,Biological soil components,Timber - Arable,Cereals
9,1,Biological soil components,Timber - Arable,Cereals
9,1,Biological soil components,Timber - Arable,Oil crops
9,1,Biological soil components,Timber - Arable,Cereals
9,1,Biological soil components,Timber - Arable,Cereals
9,1,Biological soil components,Timber - Arable,Oil crops
9,1,Biological soil components,Timber - Arable,Cereals
9,1,Greenhouse gas emissions,Timber - Arable,Cereals
9,1,Greenhouse gas emissions,Timber - Arable,Oil crops
9,1,Greenhouse gas emissions,Timber - Arable,Cereals
9,1,Greenhouse gas emissions,Timber - Arable,Cereals
9,1,Greenhouse gas emissions,Timber - Arable,Oil crops
9,1,Greenhouse gas emissions,Timber - Arable,Cereals
9,1,Greenhouse gas emissions,Timber - Arable,Cereals
9,1,Greenhouse gas emissions,Timber - Arable,Oil crops
9,1,Greenhouse gas emissions,Timber - Arable,Cereals
