ID.P,name,value,INPUT.OUTPUT.ES,ES.CAT.GROUPS,FOCUS.GROUPS.BD.ES.CAT
2,Carbon sequestration,0,OUTPUT.ES,Regulating ES,"Soil quality, carbon and nutrients"
2,Water regulation,0,OUTPUT.ES,Regulating ES,Water
2,Nutrient leaching regulation,0,OUTPUT.ES,Regulating ES,"Soil quality, carbon and nutrients"
2,Erosion regulation,0,INPUT.ES,Regulating ES,Nat. process regulation
2,Water purification,0,"NA",Regulating ES,Water
2,Disease regulation,0,INPUT.ES,Regulating ES,Disease and pest
2,Pest regulation,0,INPUT.ES,Regulating ES,Disease and pest
2,Polination regulation,0,INPUT.ES,Regulating ES,Nat. process regulation
2,Natural hazards regulation,0,"NA",Regulating ES,Nat. process regulation
2,Soil formation,0,INPUT.ES,Supporting ES,"Soil quality, carbon and nutrients"
2,Photosynthesis,0,"NA",Supporting ES,Nat. process regulation
2,Primary production,1,"NA",Supporting ES,Production
2,Nutrient cycling,0,INPUT.ES,Supporting ES,Nat. process regulation
2,Water cycling,0,INPUT.ES,Supporting ES,Water
2,Cultural diversity,0,"NA",Cultural ES,Socio-cultural and economic
2,Spiritual value,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
2,Knowledge systems,0,"NA",Cultural ES,Socio-cultural and economic
2,Educational value,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
2,Inspirational value,0,"NA",Cultural ES,Socio-cultural and economic
2,Aesthetic value,0,"NA",Cultural ES,Socio-cultural and economic
2,Social relations,0,"NA",Cultural ES,Socio-cultural and economic
2,Sense of place,0,"NA",Cultural ES,Socio-cultural and economic
2,Cultural heritage value,0,"NA",Cultural ES,Socio-cultural and economic
2,Recreational and ecotourism,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
2,Provisioning ES,1,"NA","NA","NA"
2,Regulating ES,0,"NA","NA","NA"
2,Supporting ES,1,"NA","NA","NA"
2,Cultural ES,0,"NA","NA","NA"
2,Ecosystem Services,1,"NA","NA","NA"
3,Food,0,OUTPUT.ES,Povisioning ES,Production
3,Biomass,0,OUTPUT.ES,Povisioning ES,Production
3,Land equivalent ratio,0,INPUT.ES,Povisioning ES,Production
3,Pests,0,"NA",Regulating ES,Disease and pest
3,Diseases,0,"NA",Regulating ES,Disease and pest
3,Weeds,0,"NA",Regulating ES,Disease and pest
3,Product quality,0,OUTPUT.ES,Povisioning ES,Production
3,Product stability,0,OUTPUT.ES,Povisioning ES,Production
3,Mechanisation,0,"NA",Povisioning ES,Production
3,Belowground (crop-tree) competition,0,"NA",Povisioning ES,Production
3,Aboveground (crop-tree) light competition,0,"NA",Povisioning ES,Production
3,Nutrient use,0,"NA",Povisioning ES,Production
3,Nutrient use effeciency,0,INPUT.ES,Povisioning ES,Production
3,Breeding and selection,0,"NA",Povisioning ES,Production
3,Soil quality,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
3,Biodiversity,1,INPUT.ES,Regulating ES,Biodiversity
3,Carbon stock,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
3,Greenhouse gas emissions,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
3,Pollination,0,OUTPUT.ES,Regulating ES,Nat. process regulation
3,Soil structure,0,INPUT.ES,Supporting ES,"Soil quality, carbon and nutrients"
3,Chemical soil components,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
3,Biological soil components,1,"NA",Supporting ES,"Soil quality, carbon and nutrients"
3,Soil water,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
3,Soil erosion,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
3,Soil formations,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
3,Water quality,0,"NA",Regulating ES,Water
3,Water perculation,0,"NA",Regulating ES,Water
3,Water cyclings,0,"NA",Supporting ES,Water
3,Water availability,0,INPUT.ES,Regulating ES,Water
3,Hydraulic lift,0,INPUT.ES,Regulating ES,Water
3,Economic profit related,0,INPUT.ES,Povisioning ES,Socio-cultural and economic
3,Economic management related,0,INPUT.ES,Povisioning ES,Socio-cultural and economic
3,Economic market related,0,"NA",Povisioning ES,Socio-cultural and economic
3,Landscape aesthetics,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
3,Recreational and ecotourisms,0,OUTPUT.ES,"NA","NA"
3,Spiritual values,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
3,Perception of adoptation,0,"NA",Cultural ES,Socio-cultural and economic
3,Policy information,0,"NA",Cultural ES,Socio-cultural and economic
3,Agronomic category,0,"NA","NA","NA"
3,Environmental category,1,"NA","NA","NA"
3,Economic category,0,"NA","NA","NA"
3,Socio-cultural category,0,"NA","NA","NA"
3,Food (yield),0,OUTPUT.ES,Povisioning ES,Production
3,Feed,0,OUTPUT.ES,Povisioning ES,Production
3,Fibre,0,OUTPUT.ES,Povisioning ES,Production
3,Fuel (firewood etc.),0,OUTPUT.ES,"NA",Production
3,Genetic resources,0,"NA",Povisioning ES,Production
3,Biochemicals,0,OUTPUT.ES,Povisioning ES,Production
3,Ornamentals,0,OUTPUT.ES,Povisioning ES,Production
3,Fresh water,0,"NA",Povisioning ES,Water
3,Air regulation,0,"NA",Regulating ES,Nat. process regulation
3,Climate regulation,0,OUTPUT.ES,Regulating ES,Nat. process regulation
3,Carbon sequestration,0,OUTPUT.ES,Regulating ES,"Soil quality, carbon and nutrients"
3,Water regulation,0,OUTPUT.ES,Regulating ES,Water
3,Nutrient leaching regulation,0,OUTPUT.ES,Regulating ES,"Soil quality, carbon and nutrients"
3,Erosion regulation,0,INPUT.ES,Regulating ES,Nat. process regulation
3,Water purification,0,"NA",Regulating ES,Water
3,Disease regulation,0,INPUT.ES,Regulating ES,Disease and pest
3,Pest regulation,0,INPUT.ES,Regulating ES,Disease and pest
3,Polination regulation,0,INPUT.ES,Regulating ES,Nat. process regulation
3,Natural hazards regulation,0,"NA",Regulating ES,Nat. process regulation
3,Soil formation,0,INPUT.ES,Supporting ES,"Soil quality, carbon and nutrients"
3,Photosynthesis,0,"NA",Supporting ES,Nat. process regulation
3,Primary production,0,"NA",Supporting ES,Production
3,Nutrient cycling,0,INPUT.ES,Supporting ES,Nat. process regulation
3,Water cycling,0,INPUT.ES,Supporting ES,Water
3,Cultural diversity,0,"NA",Cultural ES,Socio-cultural and economic
3,Spiritual value,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
3,Knowledge systems,0,"NA",Cultural ES,Socio-cultural and economic
3,Educational value,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
3,Inspirational value,0,"NA",Cultural ES,Socio-cultural and economic
3,Aesthetic value,0,"NA",Cultural ES,Socio-cultural and economic
3,Social relations,0,"NA",Cultural ES,Socio-cultural and economic
3,Sense of place,0,"NA",Cultural ES,Socio-cultural and economic
3,Cultural heritage value,0,"NA",Cultural ES,Socio-cultural and economic
3,Recreational and ecotourism,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
3,Provisioning ES,0,"NA","NA","NA"
3,Regulating ES,0,"NA","NA","NA"
3,Supporting ES,0,"NA","NA","NA"
3,Cultural ES,0,"NA","NA","NA"
3,Ecosystem Services,0,"NA","NA","NA"
5,Food,1,OUTPUT.ES,Povisioning ES,Production
5,Biomass,1,OUTPUT.ES,Povisioning ES,Production
5,Land equivalent ratio,0,INPUT.ES,Povisioning ES,Production
5,Pests,0,"NA",Regulating ES,Disease and pest
5,Diseases,0,"NA",Regulating ES,Disease and pest
5,Weeds,0,"NA",Regulating ES,Disease and pest
5,Product quality,0,OUTPUT.ES,Povisioning ES,Production
5,Product stability,1,OUTPUT.ES,Povisioning ES,Production
5,Mechanisation,0,"NA",Povisioning ES,Production
5,Belowground (crop-tree) competition,1,"NA",Povisioning ES,Production
5,Aboveground (crop-tree) light competition,0,"NA",Povisioning ES,Production
5,Nutrient use,0,"NA",Povisioning ES,Production
5,Nutrient use effeciency,0,INPUT.ES,Povisioning ES,Production
5,Breeding and selection,0,"NA",Povisioning ES,Production
5,Soil quality,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
5,Biodiversity,0,INPUT.ES,Regulating ES,Biodiversity
5,Carbon stock,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
5,Greenhouse gas emissions,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
5,Pollination,0,OUTPUT.ES,Regulating ES,Nat. process regulation
5,Soil structure,0,INPUT.ES,Supporting ES,"Soil quality, carbon and nutrients"
5,Chemical soil components,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
5,Biological soil components,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
5,Soil water,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
5,Soil erosion,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
5,Soil formations,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
5,Water quality,0,"NA",Regulating ES,Water
5,Water perculation,0,"NA",Regulating ES,Water
5,Water cyclings,0,"NA",Supporting ES,Water
5,Water availability,0,INPUT.ES,Regulating ES,Water
5,Hydraulic lift,0,INPUT.ES,Regulating ES,Water
5,Economic profit related,1,INPUT.ES,Povisioning ES,Socio-cultural and economic
5,Economic management related,0,INPUT.ES,Povisioning ES,Socio-cultural and economic
5,Economic market related,1,"NA",Povisioning ES,Socio-cultural and economic
5,Landscape aesthetics,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
5,Recreational and ecotourisms,0,OUTPUT.ES,"NA","NA"
5,Spiritual values,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
5,Perception of adoptation,0,"NA",Cultural ES,Socio-cultural and economic
5,Policy information,0,"NA",Cultural ES,Socio-cultural and economic
5,Agronomic category,1,"NA","NA","NA"
5,Environmental category,0,"NA","NA","NA"
5,Economic category,1,"NA","NA","NA"
5,Socio-cultural category,0,"NA","NA","NA"
5,Food (yield),1,OUTPUT.ES,Povisioning ES,Production
5,Feed,0,OUTPUT.ES,Povisioning ES,Production
5,Fibre,0,OUTPUT.ES,Povisioning ES,Production
5,Fuel (firewood etc.),0,OUTPUT.ES,"NA",Production
5,Genetic resources,0,"NA",Povisioning ES,Production
5,Biochemicals,0,OUTPUT.ES,Povisioning ES,Production
5,Ornamentals,0,OUTPUT.ES,Povisioning ES,Production
5,Fresh water,0,"NA",Povisioning ES,Water
5,Air regulation,0,"NA",Regulating ES,Nat. process regulation
5,Climate regulation,0,OUTPUT.ES,Regulating ES,Nat. process regulation
5,Carbon sequestration,0,OUTPUT.ES,Regulating ES,"Soil quality, carbon and nutrients"
5,Water regulation,0,OUTPUT.ES,Regulating ES,Water
5,Nutrient leaching regulation,0,OUTPUT.ES,Regulating ES,"Soil quality, carbon and nutrients"
5,Erosion regulation,0,INPUT.ES,Regulating ES,Nat. process regulation
5,Water purification,0,"NA",Regulating ES,Water
5,Disease regulation,0,INPUT.ES,Regulating ES,Disease and pest
5,Pest regulation,0,INPUT.ES,Regulating ES,Disease and pest
5,Polination regulation,0,INPUT.ES,Regulating ES,Nat. process regulation
5,Natural hazards regulation,0,"NA",Regulating ES,Nat. process regulation
5,Soil formation,0,INPUT.ES,Supporting ES,"Soil quality, carbon and nutrients"
5,Photosynthesis,0,"NA",Supporting ES,Nat. process regulation
5,Primary production,0,"NA",Supporting ES,Production
5,Nutrient cycling,0,INPUT.ES,Supporting ES,Nat. process regulation
5,Water cycling,0,INPUT.ES,Supporting ES,Water
5,Cultural diversity,0,"NA",Cultural ES,Socio-cultural and economic
5,Spiritual value,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
5,Knowledge systems,0,"NA",Cultural ES,Socio-cultural and economic
5,Educational value,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
5,Inspirational value,0,"NA",Cultural ES,Socio-cultural and economic
5,Aesthetic value,0,"NA",Cultural ES,Socio-cultural and economic
5,Social relations,0,"NA",Cultural ES,Socio-cultural and economic
5,Sense of place,0,"NA",Cultural ES,Socio-cultural and economic
5,Cultural heritage value,0,"NA",Cultural ES,Socio-cultural and economic
5,Recreational and ecotourism,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
5,Provisioning ES,1,"NA","NA","NA"
5,Regulating ES,0,"NA","NA","NA"
5,Supporting ES,0,"NA","NA","NA"
5,Cultural ES,0,"NA","NA","NA"
5,Ecosystem Services,1,"NA","NA","NA"
6,Food,0,OUTPUT.ES,Povisioning ES,Production
6,Biomass,0,OUTPUT.ES,Povisioning ES,Production
6,Land equivalent ratio,0,INPUT.ES,Povisioning ES,Production
6,Pests,0,"NA",Regulating ES,Disease and pest
6,Diseases,0,"NA",Regulating ES,Disease and pest
6,Weeds,0,"NA",Regulating ES,Disease and pest
6,Product quality,0,OUTPUT.ES,Povisioning ES,Production
6,Product stability,0,OUTPUT.ES,Povisioning ES,Production
6,Mechanisation,0,"NA",Povisioning ES,Production
6,Belowground (crop-tree) competition,0,"NA",Povisioning ES,Production
6,Aboveground (crop-tree) light competition,0,"NA",Povisioning ES,Production
6,Nutrient use,0,"NA",Povisioning ES,Production
6,Nutrient use effeciency,0,INPUT.ES,Povisioning ES,Production
6,Breeding and selection,0,"NA",Povisioning ES,Production
6,Soil quality,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
6,Biodiversity,0,INPUT.ES,Regulating ES,Biodiversity
6,Carbon stock,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
6,Greenhouse gas emissions,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
6,Pollination,0,OUTPUT.ES,Regulating ES,Nat. process regulation
6,Soil structure,0,INPUT.ES,Supporting ES,"Soil quality, carbon and nutrients"
6,Chemical soil components,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
6,Biological soil components,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
6,Soil water,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
6,Soil erosion,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
6,Soil formations,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
6,Water quality,0,"NA",Regulating ES,Water
6,Water perculation,0,"NA",Regulating ES,Water
6,Water cyclings,0,"NA",Supporting ES,Water
6,Water availability,0,INPUT.ES,Regulating ES,Water
6,Hydraulic lift,0,INPUT.ES,Regulating ES,Water
6,Economic profit related,0,INPUT.ES,Povisioning ES,Socio-cultural and economic
6,Economic management related,0,INPUT.ES,Povisioning ES,Socio-cultural and economic
6,Economic market related,0,"NA",Povisioning ES,Socio-cultural and economic
6,Landscape aesthetics,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
6,Recreational and ecotourisms,0,OUTPUT.ES,"NA","NA"
6,Spiritual values,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
6,Perception of adoptation,0,"NA",Cultural ES,Socio-cultural and economic
6,Policy information,0,"NA",Cultural ES,Socio-cultural and economic
6,Agronomic category,0,"NA","NA","NA"
6,Environmental category,0,"NA","NA","NA"
6,Economic category,0,"NA","NA","NA"
6,Socio-cultural category,0,"NA","NA","NA"
6,Food (yield),0,OUTPUT.ES,Povisioning ES,Production
6,Feed,1,OUTPUT.ES,Povisioning ES,Production
6,Fibre,0,OUTPUT.ES,Povisioning ES,Production
6,Fuel (firewood etc.),0,OUTPUT.ES,"NA",Production
6,Genetic resources,0,"NA",Povisioning ES,Production
6,Biochemicals,0,OUTPUT.ES,Povisioning ES,Production
6,Ornamentals,0,OUTPUT.ES,Povisioning ES,Production
6,Fresh water,0,"NA",Povisioning ES,Water
6,Air regulation,0,"NA",Regulating ES,Nat. process regulation
6,Climate regulation,0,OUTPUT.ES,Regulating ES,Nat. process regulation
6,Carbon sequestration,0,OUTPUT.ES,Regulating ES,"Soil quality, carbon and nutrients"
6,Water regulation,0,OUTPUT.ES,Regulating ES,Water
6,Nutrient leaching regulation,1,OUTPUT.ES,Regulating ES,"Soil quality, carbon and nutrients"
6,Erosion regulation,0,INPUT.ES,Regulating ES,Nat. process regulation
6,Water purification,0,"NA",Regulating ES,Water
6,Disease regulation,0,INPUT.ES,Regulating ES,Disease and pest
6,Pest regulation,0,INPUT.ES,Regulating ES,Disease and pest
6,Polination regulation,0,INPUT.ES,Regulating ES,Nat. process regulation
6,Natural hazards regulation,0,"NA",Regulating ES,Nat. process regulation
6,Soil formation,0,INPUT.ES,Supporting ES,"Soil quality, carbon and nutrients"
6,Photosynthesis,0,"NA",Supporting ES,Nat. process regulation
6,Primary production,0,"NA",Supporting ES,Production
6,Nutrient cycling,1,INPUT.ES,Supporting ES,Nat. process regulation
6,Water cycling,0,INPUT.ES,Supporting ES,Water
6,Cultural diversity,0,"NA",Cultural ES,Socio-cultural and economic
6,Spiritual value,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
6,Knowledge systems,0,"NA",Cultural ES,Socio-cultural and economic
6,Educational value,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
6,Inspirational value,0,"NA",Cultural ES,Socio-cultural and economic
6,Aesthetic value,0,"NA",Cultural ES,Socio-cultural and economic
6,Social relations,0,"NA",Cultural ES,Socio-cultural and economic
6,Sense of place,0,"NA",Cultural ES,Socio-cultural and economic
6,Cultural heritage value,0,"NA",Cultural ES,Socio-cultural and economic
6,Recreational and ecotourism,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
6,Provisioning ES,1,"NA","NA","NA"
6,Regulating ES,1,"NA","NA","NA"
6,Supporting ES,1,"NA","NA","NA"
6,Cultural ES,0,"NA","NA","NA"
6,Ecosystem Services,1,"NA","NA","NA"
7,Food,0,OUTPUT.ES,Povisioning ES,Production
7,Biomass,0,OUTPUT.ES,Povisioning ES,Production
7,Land equivalent ratio,0,INPUT.ES,Povisioning ES,Production
7,Pests,0,"NA",Regulating ES,Disease and pest
7,Diseases,0,"NA",Regulating ES,Disease and pest
7,Weeds,0,"NA",Regulating ES,Disease and pest
7,Product quality,0,OUTPUT.ES,Povisioning ES,Production
7,Product stability,0,OUTPUT.ES,Povisioning ES,Production
7,Mechanisation,0,"NA",Povisioning ES,Production
7,Belowground (crop-tree) competition,0,"NA",Povisioning ES,Production
7,Aboveground (crop-tree) light competition,0,"NA",Povisioning ES,Production
7,Nutrient use,0,"NA",Povisioning ES,Production
7,Nutrient use effeciency,0,INPUT.ES,Povisioning ES,Production
7,Breeding and selection,0,"NA",Povisioning ES,Production
7,Soil quality,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
7,Biodiversity,1,INPUT.ES,Regulating ES,Biodiversity
7,Carbon stock,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
7,Greenhouse gas emissions,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
7,Pollination,0,OUTPUT.ES,Regulating ES,Nat. process regulation
7,Soil structure,0,INPUT.ES,Supporting ES,"Soil quality, carbon and nutrients"
7,Chemical soil components,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
7,Biological soil components,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
7,Soil water,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
7,Soil erosion,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
7,Soil formations,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
7,Water quality,0,"NA",Regulating ES,Water
7,Water perculation,0,"NA",Regulating ES,Water
